rpt_rec_num,provider_number,year,util_cd,fy_bgn_dt,fy_end_dt,beds,mcare_discharges,medicaid_discharges,tot_charges,tot_discharges,tot_discounts,tot_mcare_payment,ip_charges,icu_charges,ancillary_charges,hrrp_payment,vbp_payment,discount_factor,price,net_penalty,any_penalty
301956,110212,2010,F,01/01/2010,2010-12-31,33.0,4841.0,679.0,149446399.0,14965.0,99221956.0,6902673.0,,,,,,0.336069944381865,-681.81282101936,0.0,0
523234,110212,2011,F,01/01/2011,2011-08-31,30.0,7579.0,366.0,108318831.0,9963.0,73066292.0,4423672.0,30207188.0,252621.0,,20095.0,20421.0,0.32545161976498804,2302.651919791175,40516.0,0
258316,110215,2010,F,07/01/2009,2010-06-30,126.0,17479.0,1990.0,665449287.0,49640.0,462997398.0,28611447.0,,,,,,0.30423338480487394,-889.6317589627188,0.0,0
526165,110215,2011,F,07/01/2010,2011-06-30,30.0,51472.0,2605.0,797110826.0,49640.0,560150903.0,31606027.0,179082340.0,1325895.0,,356759.0,-621.0,0.2972734973241977,-12022.139718633043,356138.0,0
532240,110215,2012,F,07/01/2011,2012-06-30,30.0,53818.0,2577.0,896519697.0,57462.0,626649706.0,32523977.0,199937400.0,1962465.0,,-33849.0,-3.0,0.30101958931081907,7752.974051649236,-33852.0,1
524964,110215,2013,F,07/01/2012,2013-06-30,30.0,52411.0,3128.0,937994562.0,62780.0,659748473.0,34115369.0,209697691.0,2569935.0,212267626.0,695454.0,-42337.0,0.29663934128436875,8855.095814955492,653117.0,0
547428,110215,2014,F,07/01/2013,2014-06-30,30.0,54915.0,3477.0,1055581675.0,62780.0,754488594.0,36579199.0,203282053.0,3292558.0,206574611.0,88505.0,-50909.0,0.2852390185723904,10332.75010899258,37596.0,0
567431,110215,2015,F,07/01/2014,2015-06-30,30.0,60097.0,3300.0,1184048918.0,62780.0,865388238.0,38809063.0,215959203.0,3936030.0,219895233.0,-238985.0,42455.0,0.2691279685794198,29649.96336756481,-196530.0,1
590036,110215,2016,F,07/01/2015,2016-06-30,30.0,61745.0,3638.0,1398672578.0,69174.0,1049006236.0,39689615.0,230633729.0,4824414.0,235458143.0,-29661.0,-7277.0,0.24999871127808726,10504.623720536165,-36938.0,1
644890,110215,2017,F,07/01/2016,2017-06-30,30.0,68175.0,4411.0,1513207166.0,82769.0,1171579505.0,40925861.0,246576572.0,4216741.0,250793313.0,51124.0,172871.0,0.2257639724923164,4955.072511633397,223995.0,0
639614,110215,2018,F,07/01/2017,2018-06-30,30.0,72681.0,4542.0,1705132742.0,83220.0,1339795559.0,43541437.0,269063322.0,4383963.0,273447285.0,-310673.0,-14949.0,0.21425732671785147,6986.880307876353,-325622.0,1
686289,110215,2019,F,07/01/2018,2019-06-30,30.0,78868.0,5404.0,1977080918.0,90844.0,1561823351.0,49999953.0,283519420.0,5086642.0,288606062.0,-118058.0,319873.0,0.21003569617174367,5948.162767460824,201815.0,0
273194,110219,2010,F,06/01/2009,2010-05-31,139.0,9887.0,7565.0,563599236.0,66795.0,473411697.0,17737188.0,,,,,,0.16002069065970137,-311.6818022070711,0.0,0
554697,110219,2011,F,06/01/2010,2011-05-31,30.0,39417.0,10296.0,695002151.0,76650.0,592400956.0,18569891.0,101154878.0,1490952.0,102645830.0,-8096.0,263.0,0.14762716180428048,315.22397088306974,-7833.0,1
544504,110219,2012,F,06/01/2012,2012-12-31,30.0,14984.0,4625.0,340603413.0,42372.0,298937155.0,7790868.0,47820042.0,767870.0,48587912.0,27497.0,-90554.0,0.12233071193564349,149.58082856918324,-63057.0,1
258313,110225,2010,F,07/01/2009,2010-06-30,36.0,5151.0,923.0,177564250.0,15330.0,129682443.0,9632835.0,,,,,,0.26965905017479586,-946.343943412909,0.0,0
530277,110225,2011,F,07/01/2010,2011-06-30,30.0,11935.0,1115.0,211507342.0,15330.0,150615033.0,10791002.0,45719367.0,483098.0,,-293299.0,246.0,0.2878969043069909,739.4829587193215,-293053.0,1
533054,110225,2012,F,07/01/2011,2012-06-30,30.0,11096.0,832.0,226435719.0,15372.0,164496145.0,9759913.0,47909389.0,640133.0,,66416.0,,0.2735415343195037,823.2922680913235,66416.0,0
524965,110225,2013,F,07/01/2012,2013-06-30,30.0,9203.0,863.0,246400042.0,18980.0,188949815.0,8448413.0,47957574.0,739510.0,48697084.0,314631.0,-6432.0,0.2331583490558009,1458.5098106314122,308199.0,0
547429,110225,2014,F,07/01/2013,2014-06-30,30.0,10698.0,1081.0,289426258.0,18980.0,229160972.0,9918329.0,44727901.0,1084008.0,45811909.0,-69541.0,-28393.0,0.20822328428818648,1105.9989498892849,-97934.0,1
567432,110225,2015,F,07/01/2014,2015-06-30,30.0,10590.0,906.0,322430414.0,18980.0,259323282.0,9443496.0,54076511.0,1330705.0,55407216.0,21662.0,50039.0,0.19572326077154745,1459.5311050759133,71701.0,0
590037,110225,2016,F,07/01/2015,2016-06-30,30.0,11968.0,744.0,393965403.0,19032.0,322536999.0,9675499.0,57819285.0,1097240.0,58916525.0,-28709.0,20969.0,0.18130628592277687,1654.6395320573138,-7740.0,1
641170,110225,2017,F,07/01/2016,2017-06-30,30.0,12291.0,870.0,433669319.0,18980.0,355835567.0,9708487.0,62636879.0,1241660.0,63878539.0,-9342.0,-24335.0,0.17947719285163455,1976.52784068879,-33677.0,1
639615,110225,2018,F,07/01/2017,2018-06-30,30.0,12655.0,740.0,471602307.0,18980.0,388245322.0,10803472.0,67517500.0,1135696.0,68653196.0,-265668.0,34306.0,0.17675270829410938,2128.9809726628673,-231362.0,1
685931,110225,2019,F,07/01/2018,2019-06-30,30.0,13858.0,1082.0,523495487.0,18980.0,432104764.0,11662524.0,72862336.0,1054933.0,73917269.0,-169451.0,106224.0,0.17457786221564886,2761.833972213609,-63227.0,1
258492,110226,2010,F,07/01/2009,2010-06-30,92.0,6086.0,1734.0,167403397.0,36500.0,95287812.0,9305407.0,,,,,,0.4307892569229046,-305.9580127572828,0.0,0
1784,110226,2011,F,07/01/2010,2011-06-30,30.0,19277.0,2293.0,195836796.0,36500.0,118009250.0,10651003.0,57496280.0,,,169178.0,-30067.0,0.3974102292809162,708.2742157347591,139111.0,0
11125,110226,2012,F,07/01/2011,2012-06-30,30.0,21142.0,2944.0,222769520.0,36600.0,161648941.0,9954829.0,60984414.0,1085485.0,,587748.0,-38892.0,0.27436688376399065,457.6980051866761,548856.0,0
524966,110226,2013,F,07/01/2012,2013-06-30,30.0,25038.0,2989.0,262301343.0,36500.0,193051427.0,9972958.0,70627968.0,4663598.0,75291566.0,1011723.0,322174.0,0.26400900280560136,2598.3549571335056,1333897.0,0
550960,110226,2014,F,07/01/2013,2014-06-30,30.0,22185.0,2580.0,251389349.0,32485.0,187187801.0,10076927.0,68862297.0,3122611.0,71984908.0,-425177.0,-277166.0,0.2553869058310819,2591.3668777971056,-702343.0,1
572923,110226,2015,F,07/01/2014,2015-06-30,30.0,18359.0,2152.0,255363061.0,32971.0,191664599.0,7973969.0,63970958.0,3020542.0,66991500.0,431700.0,95974.0,0.2494427414464616,1741.5218879839356,527674.0,0
590576,110226,2016,F,07/01/2015,2016-06-30,30.0,18104.0,2022.0,282948933.0,32940.0,217058414.0,8241866.0,65211824.0,2588857.0,67800681.0,500530.0,34451.0,0.2328707102776033,1572.911801263845,534981.0,0
636091,110226,2017,F,07/01/2016,2017-06-30,30.0,20022.0,2988.0,316562384.0,32850.0,243503347.0,8476554.0,69946208.0,3067522.0,73013730.0,246843.0,-9066.0,0.23078875031469315,1966.3970225310916,237777.0,0
639616,110226,2018,F,07/01/2017,2018-06-30,30.0,17517.0,2588.0,332878928.0,32850.0,260939312.0,8566642.0,70573522.0,3488601.0,74062123.0,358950.0,13776.0,0.21611345732283782,1529.055039222496,372726.0,0
685409,110226,2019,F,07/01/2018,2019-06-30,30.0,18719.0,2565.0,371075886.0,32850.0,299669399.0,9219303.0,71290378.0,3510217.0,74800595.0,24852.0,74246.0,0.19243095467540028,1384.7991516719233,99098.0,0
258315,110229,2010,F,07/01/2009,2010-06-30,131.0,11412.0,2504.0,351220547.0,52195.0,235735124.0,19231573.0,,,,,,0.32881169392404597,-471.5585660691955,0.0,0
