provider_number,price_2011,price_2014,net_penalty,hrrp_penalty,vbp_penalty,any_penalty,net_penalty_1k,hrrp_penalty_1k,avg_mcare_dis,avg_beds,avg_mcaid_dis,avg_mcare_100,price_change
050014,3904.431160504391,2173.934381774392,228145.0,0.0,228145.0,1.0,228.145,0.0,5535.5,33.0,1013.0,55.355,-1730.4967787299988
050017,2852.111940570808,1644.85738213014,0.0,0.0,0.0,0.0,0.0,0.0,50150.5,136.0,18199.0,501.505,-1207.2545584406682
050024,221.4061101711404,569.8352005861719,46255.0,0.0,46255.0,1.0,46.255,0.0,36227.5,122.5,16893.5,362.275,348.4290904150315
050025,4379.754935986366,11133.528764616662,0.0,0.0,0.0,0.0,0.0,0.0,80522.0,188.5,35453.5,805.22,6753.773828630296
050026,2374.2720764401965,1731.222064263848,2805496.0,1770350.0,1035146.0,1.0,2805.496,1770.35,69902.5,152.0,20537.0,699.025,-643.0500121763484
050028,1626.8443096010055,1253.205877649839,273449.0,6096.0,267353.0,1.0,273.449,6.096,6125.5,50.0,2352.0,61.255,-373.63843195116647
050030,1627.9647374589697,1782.1284769812817,98415.0,98415.0,0.0,1.0,98.415,98.415,23385.0,76.5,8950.0,233.85,154.16373952231197
050036,983.7854078862306,1111.456181737178,2255903.0,2255903.0,0.0,1.0,2255.903,2255.903,49794.5,184.5,13217.0,497.945,127.6707738509474
050038,376.3336389183985,2427.9038612286113,0.0,0.0,0.0,0.0,0.0,0.0,57692.5,191.0,48666.0,576.925,2051.5702223102126
050039,2855.718833069722,2976.0685451140525,41543.0,0.0,41543.0,1.0,41.543,0.0,48584.5,154.0,10576.0,485.845,120.34971204433032
050040,6521.562785756338,7188.8444772797475,888548.0,888548.0,0.0,1.0,888.548,888.548,30583.0,114.5,37159.5,305.83,667.2816915234098
050042,1594.2790212131333,973.4366739016294,0.0,0.0,0.0,0.0,0.0,0.0,7143.0,49.0,3313.5,71.43,-620.8423473115039
050043,1000.7824721767727,592.248450766182,7639471.0,7639471.0,0.0,1.0,7639.471,7639.471,46397.0,174.0,5592.5,463.97,-408.53402141059064
050047,4734.569843179577,8927.53787076352,7981410.0,7981410.0,0.0,1.0,7981.41,7981.41,69899.5,209.0,13078.0,698.995,4192.968027583942
050054,1146.6992977028094,1902.413446809242,19688.0,0.0,19688.0,1.0,19.688,0.0,8619.5,42.5,2001.0,86.195,755.7141491064326
050055,846.1657552063181,6853.546798922403,0.0,0.0,0.0,0.0,0.0,0.0,11793.5,74.0,3935.5,117.935,6007.381043716085
050056,743.876932258249,2112.962154694847,1987939.0,1987939.0,0.0,1.0,1987.939,1987.939,72655.0,190.5,26127.5,726.55,1369.085222436598
050057,3162.093137530019,2589.076598737431,1567067.0,1508277.0,58790.0,1.0,1567.067,1508.277,77286.0,196.0,20547.5,772.86,-573.0165387925877
050058,596.108528523217,434.63059615011906,56684.0,56684.0,0.0,1.0,56.684,56.684,40567.5,117.0,17516.5,405.675,-161.47793237309799
050060,6306.389663942027,7512.289306170292,1624569.0,1026644.0,597925.0,1.0,1624.569,1026.644,116931.5,254.0,52407.0,1169.315,1205.8996422282644
050063,515.8405074291846,1114.361740049685,0.0,0.0,0.0,0.0,0.0,0.0,45363.0,139.0,34270.5,453.63,598.5212326205004
050067,3732.062226514152,3598.0784585147867,0.0,0.0,0.0,0.0,0.0,0.0,3322.0,30.0,863.5,33.22,-133.98376799936523
050069,3136.485642860307,3123.7368587318197,1786784.0,1786784.0,0.0,1.0,1786.784,1786.784,48183.0,162.0,7061.5,481.83,-12.748784128487387
050077,3400.3189341494767,2502.954044759507,124786.0,0.0,124786.0,1.0,124.786,0.0,91298.5,227.0,32317.5,912.985,-897.3648893899699
050078,995.6069327218028,1049.697630157185,34355.0,34355.0,0.0,1.0,34.355,34.355,18831.0,78.0,3787.5,188.31,54.09069743538214
050079,261.384196926398,466.76407404760346,461124.0,258254.0,202870.0,1.0,461.124,258.254,20353.5,92.0,2138.0,203.535,205.37987712120548
050084,1741.8956660120625,814.1242258306806,216794.0,198642.0,18152.0,1.0,216.794,198.642,57473.5,141.5,13429.5,574.735,-927.7714401813819
050089,1900.0224720546107,1796.9137486556858,102899.0,102899.0,0.0,1.0,102.899,102.899,24087.0,91.0,16589.0,240.87,-103.1087233989249
050090,1035.367490006162,965.3348351747577,108512.0,108512.0,0.0,1.0,108.512,108.512,4798.0,40.0,800.0,47.98,-70.03265483140422
050091,221.4061101711404,256.4664340435436,0.0,0.0,0.0,0.0,0.0,0.0,4505.5,83.5,2226.5,45.055,35.06032387240319
050093,1823.075937357636,919.666730521299,1880168.0,1880168.0,0.0,1.0,1880.168,1880.168,81673.5,210.5,12073.0,816.735,-903.4092068363369
050096,452.0616548099039,1286.9355356588871,0.0,0.0,0.0,0.0,0.0,0.0,500.5,28.5,22.5,5.005,834.8738808489832
050099,1570.5071780678531,1483.259404903373,573813.0,573813.0,0.0,1.0,573.813,573.813,38488.0,146.5,4271.0,384.88,-87.24777316448012
050100,2104.9004597236167,1913.7817260355403,2393052.0,2393052.0,0.0,1.0,2393.052,2393.052,91732.5,269.0,20263.0,917.325,-191.11873368807642
050101,1673.0668073534282,1567.9941357998227,154158.0,154158.0,0.0,1.0,154.158,154.158,12737.5,60.5,1290.0,127.375,-105.07267155360546
050102,872.6250729187681,1068.6026113106818,0.0,0.0,0.0,0.0,0.0,0.0,24738.5,99.0,12004.5,247.385,195.97753839191375
050103,1146.1362891158153,2134.6304968443924,1242585.0,1242585.0,0.0,1.0,1242.585,1242.585,55217.5,132.5,32667.0,552.175,988.4942077285771
050104,10314.913194641722,3774.43628647737,98972.0,98972.0,0.0,1.0,98.972,98.972,61958.5,152.0,56745.0,619.585,-6540.476908164352
050107,2975.097953648462,3674.633515775603,187869.0,187869.0,0.0,1.0,187.869,187.869,26863.0,92.5,7106.0,268.63,699.535562127141
050108,2133.6140847048555,2098.316424131326,46.0,0.0,46.0,1.0,0.046,0.0,84165.0,282.5,16626.0,841.65,-35.297660573529356
050110,4380.623185180145,4782.424139570075,0.0,0.0,0.0,0.0,0.0,0.0,6755.5,43.0,532.0,67.555,401.80095438992976
050111,221.4061101711404,256.4664340435436,0.0,0.0,0.0,0.0,0.0,0.0,10945.0,84.0,3327.0,109.45,35.06032387240319
050112,1123.4295852196412,11133.528764616662,349555.0,349555.0,0.0,1.0,349.555,349.555,52399.0,151.5,12437.5,523.99,10010.09917939702
050113,8175.876837555438,7933.910764318123,126221.0,126221.0,0.0,1.0,126.221,126.221,6331.0,46.0,3854.0,63.31,-241.96607323731496
